County,Town,Latitude,Longitude
Kisumu,Ahero,-0.1744,34.9203
Kisumu,Maseno,-0.00661,34.60004
Kitui,Kitui,-1.3667,38.0167
Kitui,Mwingi,-0.93605,38.05955
Kitui,Mutomo,-1.84752,38.20836
Kitui,Ikutha,-2.0667,38.1833
Kwale,Kwale,-4.1744,39.4603
Kwale,Ukunda,-4.2875,39.5661
Kwale,Msambweni,-4.4619,39.48265
Kwale,Kinango,-4.1393,39.318
Kwale,Lunga Lunga,-4.555,39.1231
Laikipia,Rumuruti,0.26,36.5363
Laikipia,Nanyuki,0.02,37.06
Laikipia,Nyahururu,0.04,36.36
Lamu,Lamu,-2.2694,40.9022
Lamu,Mpeketoni,-2.38913,40.69812
Machakos,Machakos,-1.5167,37.2667
Machakos,Athi River,-1.45,37.0
Machakos,Mavoko,-1.45,37.0
Machakos,Kangundo,-1.35,37.37
Machakos,Masii,-1.46127,37.43849
Makueni,Wote,-1.7833,37.6333
Makueni,Kibwezi,-2.42,37.97
Makueni,Emali,-1.6889,37.25
Makueni,Sultan Hamud,-2.02042,37.37212
Mandera,Mandera,3.9167,41.8333
Mandera,El Wak,2.8028,40.9275
Mandera,Ramu,3.9375,41.2203
Mandera,Banisa,3.897056,40.320253
Marsabit,Marsabit,2.3333,37.9833
Marsabit,Moyale,3.52,39.05
Marsabit,Laisamis,1.5932,37.80595
Meru,Meru,0.05,37.65
Meru,Makutano,-2.53621,37.52935
Meru,Ruiri,0.17799,37.63022
Meru,Kianjai,0.16113,37.74706
Meru,Mutuati,0.38435,37.98067
Meru,Maua,0.2329201,37.9408902
Meru,Nkubu,-0.06929,37.66618
Meru,Kariene,-0.038256,37.661827
Meru,Igoji,-0.19309,37.66724
Meru,Kathera,-0.054743055,37.6116075
Meru,Katheri,0.00828,37.60036
Meru,Chaaria,-0.00809,37.766407
Meru,Giaki,0.02983,37.78625
Meru,Timau,0.0835,37.23925
Meru,Miathene,0.15097,37.78865
Migori,Migori,-1.0667,34.47
Migori,Kehancha,-1.1939843,34.6165033
Migori,Awendo,-0.5,34.4
Migori,Rongo,-0.75675,34.59833
Mombasa,Mombasa,-4.0437,39.6589
Mombasa,Likoni,-4.0929,39.6614
Mombasa,Changamwe,-4.0261,39.6306
Mombasa,Kisauni,-4.0333,39.6833
Mombasa,Nyali,-4.05246,39.69541
Murang'a,Murang'a,-0.71,37.15
Murang'a,Kenol,-0.9,37.1167
Murang'a,Kangema,-0.68553,36.96463
Murang'a,Maragwa,-0.17698,38.09695
Nairobi City,Nairobi,-1.2864,36.8172
Nakuru,Nakuru,-0.3,36.0667
Nakuru,Naivasha,-0.7172,36.431
Nakuru,Molo,-0.25,35.7333
Nakuru,Gilgil,-0.217,36.267
Nakuru,Keringet,-0.4260762,35.6901698
Nandi,Kapsabet,0.3333,35.1667
Nandi,Nandi Hills,0.1003,35.1764
Narok,Narok,-1.0833,35.8667
Narok,Kilgoris,-1.00819,34.87809
Nyamira,Nyamira,-0.56333,34.93583
Nyamira,Kebirigo,-0.60292,34.96124
Nyandarua,Ol Kalou,-0.27,36.38
Nyandarua,Nyahururu,0.04,36.36
Nyeri,Nyeri,-0.4167,36.95
Nyeri,Karatina,-0.99481,36.75695
Nyeri,Mukurweini,-0.56115,37.04474
Samburu,Maralal,1.1,36.7
Samburu,Baragoi,1.7833,36.7833
Siaya,Siaya,0.0626,34.2878
Siaya,Bondo,-0.16678600224,34.122756999572
Siaya,Ugunja,0.1823,34.2967
Taita-Taveta,Mwatate,-3.5047,38.3778
Taita-Taveta,Voi,-3.37,38.57
Taita-Taveta,Taveta,-3.4,37.68
Taita-Taveta,Wundanyi,-3.3983,38.3603
Tana River,Hola,-1.5,40.0333
Tana River,Garsen,-2.26645,40.10975
Tharaka-Nithi,Kathwana,-0.3164,37.8664
Tharaka-Nithi,Chuka,-0.322865,37.6546274
Tharaka-Nithi,Marimanti,-0.15457,37.97625
Trans Nzoia,Kitale,1.0167,35.0
Trans Nzoia,Kimilili,0.7833,34.7167
Turkana,Lodwar,3.1167,35.6
Turkana,Kakuma,3.7167,34.8667
Uasin Gishu,Eldoret,0.5167,35.2833
Uasin Gishu,Iten,0.6731,35.5083
Uasin Gishu,Turbo,0.6339,35.0486
Vihiga,Mbale,0.08213,34.72139
Vihiga,Luanda,-0.81063,34.21894
Vihiga,Hamisi,0.09,34.85
Wajir,Wajir,1.75,40.05
Wajir,Habaswein,1.01,39.49
West Pokot,Kapenguria,1.2482,35.1104
West Pokot,Makutano,1.267,35.1
